,session,method,gender,emotion,path
0,5,script,F,ang,0_5_script_F_ang.wav
1,5,script,F,ang,1_5_script_F_ang.wav
2,5,script,F,ang,2_5_script_F_ang.wav
3,4,impro,M,ang,3_4_impro_M_ang.wav
4,4,impro,M,ang,4_4_impro_M_ang.wav
5,4,impro,M,ang,5_4_impro_M_ang.wav
6,5,script,M,ang,6_5_script_M_ang.wav
7,5,script,M,ang,7_5_script_M_ang.wav
8,5,script,M,ang,8_5_script_M_ang.wav
9,1,script,F,ang,9_1_script_F_ang.wav
10,1,script,F,ang,10_1_script_F_ang.wav
11,1,script,F,ang,11_1_script_F_ang.wav
12,3,impro,M,ang,12_3_impro_M_ang.wav
13,3,impro,M,ang,13_3_impro_M_ang.wav
14,3,impro,M,ang,14_3_impro_M_ang.wav
15,4,script,M,ang,15_4_script_M_ang.wav
16,4,script,M,ang,16_4_script_M_ang.wav
17,4,script,M,ang,17_4_script_M_ang.wav
18,1,script,M,ang,18_1_script_M_ang.wav
19,1,script,M,ang,19_1_script_M_ang.wav
20,1,script,M,ang,20_1_script_M_ang.wav
21,3,script,M,ang,21_3_script_M_ang.wav
22,3,script,M,ang,22_3_script_M_ang.wav
23,3,script,M,ang,23_3_script_M_ang.wav
24,1,script,F,ang,24_1_script_F_ang.wav
25,1,script,F,ang,25_1_script_F_ang.wav
26,1,script,F,ang,26_1_script_F_ang.wav
27,3,impro,M,ang,27_3_impro_M_ang.wav
28,3,impro,M,ang,28_3_impro_M_ang.wav
29,3,impro,M,ang,29_3_impro_M_ang.wav
30,4,impro,M,ang,30_4_impro_M_ang.wav
31,4,impro,M,ang,31_4_impro_M_ang.wav
32,4,impro,M,ang,32_4_impro_M_ang.wav
33,1,impro,F,ang,33_1_impro_F_ang.wav
34,1,impro,F,ang,34_1_impro_F_ang.wav
35,1,impro,F,ang,35_1_impro_F_ang.wav
36,3,script,F,ang,36_3_script_F_ang.wav
37,3,script,F,ang,37_3_script_F_ang.wav
38,3,script,F,ang,38_3_script_F_ang.wav
39,5,script,F,ang,39_5_script_F_ang.wav
40,5,script,F,ang,40_5_script_F_ang.wav
41,5,script,F,ang,41_5_script_F_ang.wav
42,3,script,M,ang,42_3_script_M_ang.wav
43,3,script,M,ang,43_3_script_M_ang.wav
44,3,script,M,ang,44_3_script_M_ang.wav
45,5,script,F,ang,45_5_script_F_ang.wav
46,5,script,F,ang,46_5_script_F_ang.wav
47,5,script,F,ang,47_5_script_F_ang.wav
48,4,script,F,ang,48_4_script_F_ang.wav
49,4,script,F,ang,49_4_script_F_ang.wav
50,4,script,F,ang,50_4_script_F_ang.wav
51,2,script,F,ang,51_2_script_F_ang.wav
52,2,script,F,ang,52_2_script_F_ang.wav
53,2,script,F,ang,53_2_script_F_ang.wav
54,3,script,F,ang,54_3_script_F_ang.wav
55,3,script,F,ang,55_3_script_F_ang.wav
56,3,script,F,ang,56_3_script_F_ang.wav
57,3,script,M,ang,57_3_script_M_ang.wav
58,3,script,M,ang,58_3_script_M_ang.wav
59,3,script,M,ang,59_3_script_M_ang.wav
60,4,script,F,ang,60_4_script_F_ang.wav
61,4,script,F,ang,61_4_script_F_ang.wav
62,4,script,F,ang,62_4_script_F_ang.wav
63,2,script,M,ang,63_2_script_M_ang.wav
64,2,script,M,ang,64_2_script_M_ang.wav
65,2,script,M,ang,65_2_script_M_ang.wav
66,3,impro,M,ang,66_3_impro_M_ang.wav
67,3,impro,M,ang,67_3_impro_M_ang.wav
68,3,impro,M,ang,68_3_impro_M_ang.wav
69,4,script,M,ang,69_4_script_M_ang.wav
70,4,script,M,ang,70_4_script_M_ang.wav
71,4,script,M,ang,71_4_script_M_ang.wav
72,5,impro,F,ang,72_5_impro_F_ang.wav
73,5,impro,F,ang,73_5_impro_F_ang.wav
74,5,impro,F,ang,74_5_impro_F_ang.wav
75,1,impro,F,ang,75_1_impro_F_ang.wav
76,1,impro,F,ang,76_1_impro_F_ang.wav
77,1,impro,F,ang,77_1_impro_F_ang.wav
78,2,impro,F,ang,78_2_impro_F_ang.wav
79,2,impro,F,ang,79_2_impro_F_ang.wav
80,2,impro,F,ang,80_2_impro_F_ang.wav
81,5,script,M,ang,81_5_script_M_ang.wav
82,5,script,M,ang,82_5_script_M_ang.wav
83,5,script,M,ang,83_5_script_M_ang.wav
84,1,script,M,ang,84_1_script_M_ang.wav
85,1,script,M,ang,85_1_script_M_ang.wav
86,1,script,M,ang,86_1_script_M_ang.wav
87,4,script,M,ang,87_4_script_M_ang.wav
88,4,script,M,ang,88_4_script_M_ang.wav
89,4,script,M,ang,89_4_script_M_ang.wav
90,1,impro,M,ang,90_1_impro_M_ang.wav
91,1,impro,M,ang,91_1_impro_M_ang.wav
92,1,impro,M,ang,92_1_impro_M_ang.wav
93,1,script,F,ang,93_1_script_F_ang.wav
94,1,script,F,ang,94_1_script_F_ang.wav
95,1,script,F,ang,95_1_script_F_ang.wav
96,4,script,M,ang,96_4_script_M_ang.wav
97,4,script,M,ang,97_4_script_M_ang.wav
98,4,script,M,ang,98_4_script_M_ang.wav
99,5,script,F,ang,99_5_script_F_ang.wav
100,5,script,F,ang,100_5_script_F_ang.wav
101,5,script,F,ang,101_5_script_F_ang.wav
102,4,script,M,ang,102_4_script_M_ang.wav
103,4,script,M,ang,103_4_script_M_ang.wav
104,4,script,M,ang,104_4_script_M_ang.wav
105,3,script,F,ang,105_3_script_F_ang.wav
106,3,script,F,ang,106_3_script_F_ang.wav
107,3,script,F,ang,107_3_script_F_ang.wav
108,4,script,F,ang,108_4_script_F_ang.wav
109,4,script,F,ang,109_4_script_F_ang.wav
110,4,script,F,ang,110_4_script_F_ang.wav
111,1,script,M,ang,111_1_script_M_ang.wav
112,1,script,M,ang,112_1_script_M_ang.wav
113,1,script,M,ang,113_1_script_M_ang.wav
114,4,impro,F,ang,114_4_impro_F_ang.wav
115,4,impro,F,ang,115_4_impro_F_ang.wav
116,4,impro,F,ang,116_4_impro_F_ang.wav
117,4,script,F,ang,117_4_script_F_ang.wav
118,4,script,F,ang,118_4_script_F_ang.wav
119,4,script,F,ang,119_4_script_F_ang.wav
120,5,impro,F,ang,120_5_impro_F_ang.wav
121,5,impro,F,ang,121_5_impro_F_ang.wav
122,5,impro,F,ang,122_5_impro_F_ang.wav
123,2,script,M,ang,123_2_script_M_ang.wav
124,2,script,M,ang,124_2_script_M_ang.wav
125,2,script,M,ang,125_2_script_M_ang.wav
126,2,script,F,ang,126_2_script_F_ang.wav
127,2,script,F,ang,127_2_script_F_ang.wav
128,2,script,F,ang,128_2_script_F_ang.wav
129,1,script,M,ang,129_1_script_M_ang.wav
130,1,script,M,ang,130_1_script_M_ang.wav
131,1,script,M,ang,131_1_script_M_ang.wav
132,3,script,M,ang,132_3_script_M_ang.wav
133,3,script,M,ang,133_3_script_M_ang.wav
134,3,script,M,ang,134_3_script_M_ang.wav
135,3,impro,M,ang,135_3_impro_M_ang.wav
136,3,impro,M,ang,136_3_impro_M_ang.wav
137,3,impro,M,ang,137_3_impro_M_ang.wav
138,1,script,F,ang,138_1_script_F_ang.wav
139,1,script,F,ang,139_1_script_F_ang.wav
140,1,script,F,ang,140_1_script_F_ang.wav
141,2,script,M,ang,141_2_script_M_ang.wav
142,2,script,M,ang,142_2_script_M_ang.wav
143,2,script,M,ang,143_2_script_M_ang.wav
144,4,impro,F,ang,144_4_impro_F_ang.wav
145,4,impro,F,ang,145_4_impro_F_ang.wav
146,4,impro,F,ang,146_4_impro_F_ang.wav
147,5,script,F,ang,147_5_script_F_ang.wav
148,5,script,F,ang,148_5_script_F_ang.wav
149,5,script,F,ang,149_5_script_F_ang.wav
150,2,script,M,ang,150_2_script_M_ang.wav
151,2,script,M,ang,151_2_script_M_ang.wav
152,2,script,M,ang,152_2_script_M_ang.wav
153,3,script,F,ang,153_3_script_F_ang.wav
154,3,script,F,ang,154_3_script_F_ang.wav
155,3,script,F,ang,155_3_script_F_ang.wav
156,5,impro,F,ang,156_5_impro_F_ang.wav
157,5,impro,F,ang,157_5_impro_F_ang.wav
158,5,impro,F,ang,158_5_impro_F_ang.wav
159,4,script,F,ang,159_4_script_F_ang.wav
160,4,script,F,ang,160_4_script_F_ang.wav
161,4,script,F,ang,161_4_script_F_ang.wav
162,3,script,M,ang,162_3_script_M_ang.wav
163,3,script,M,ang,163_3_script_M_ang.wav
